name,description,platforms,technique_id,technique_name
Lua Commands Bind Shell,Detects common commands used to create a bind shell with lua.,linux,T1008,Fallback Channels
Control Panel Items Shell32,Control panel items can be used to execute arbitrary code and is a well-known bypass mechanism for red teams and attackers.,windows,T1218,System Binary Proxy Execution
Control Panel Items Shell32,Control panel items can be used to execute arbitrary code and is a well-known bypass mechanism for red teams and attackers.,windows,T1218.002,System Binary Proxy Execution: Control Panel
Control Panel Items Shell32,Control panel items can be used to execute arbitrary code and is a well-known bypass mechanism for red teams and attackers.,windows,T1218.011,System Binary Proxy Execution: Rundll32
Control Panel Items Shell32,Control panel items can be used to execute arbitrary code and is a well-known bypass mechanism for red teams and attackers.,windows,T1112,Modify Registry
Control Panel Items Shell32,Control panel items can be used to execute arbitrary code and is a well-known bypass mechanism for red teams and attackers.,windows,T1059,Command and Scripting Interpreter
Control Panel Items Shell32,Control panel items can be used to execute arbitrary code and is a well-known bypass mechanism for red teams and attackers.,windows,T1059.003,Command and Scripting Interpreter: Windows Command Shell
RDP Shadowing Registry Modification,Detects modifications to the RDP shadow session key path. RDP shadow sessions are a known attacker technique for remote control.,windows,T1008,Fallback Channels
RDP Shadowing Registry Modification,Detects modifications to the RDP shadow session key path. RDP shadow sessions are a known attacker technique for remote control.,windows,T1021,Remote Services
RDP Shadowing Registry Modification,Detects modifications to the RDP shadow session key path. RDP shadow sessions are a known attacker technique for remote control.,windows,T1021.001,Remote Services: Remote Desktop Protocol
Control Panel Proxy Execution Cpl,Detects when control panel is used to execute a subprocess via a cpl file. This can be used by an attacker to proxy the execution of malicious code.,windows,T1218,System Binary Proxy Execution
Control Panel Proxy Execution Cpl,Detects when control panel is used to execute a subprocess via a cpl file. This can be used by an attacker to proxy the execution of malicious code.,windows,T1218.002,System Binary Proxy Execution: Control Panel
Control Panel Proxy Execution Cpl,Detects when control panel is used to execute a subprocess via a cpl file. This can be used by an attacker to proxy the execution of malicious code.,windows,T1059,Command and Scripting Interpreter
Control Panel Proxy Execution Cpl,Detects when control panel is used to execute a subprocess via a cpl file. This can be used by an attacker to proxy the execution of malicious code.,windows,T1059.003,Command and Scripting Interpreter: Windows Command Shell
DE_RAS_Splashtop_Usage,Detection of the Remote Access Software Splashtop,windows,T1219,Remote Access Software
Socat SCTP Shell,Detects common commands that are used to create an SCTP shell with socat.,"linux,mac",T1059,Command and Scripting Interpreter
Socat SCTP Shell,Detects common commands that are used to create an SCTP shell with socat.,"linux,mac",T1059.004,Command and Scripting Interpreter: Unix Shell
Socat SCTP Shell,Detects common commands that are used to create an SCTP shell with socat.,"linux,mac",T1008,Fallback Channels
Group Policy Script Creation domainscripts,Detects the creation of a group policy script which can be used for persistence by an attacker.,windows,T1037,Boot or Logon Initialization Scripts
Group Policy Script Creation domainscripts,Detects the creation of a group policy script which can be used for persistence by an attacker.,windows,T1037.003,Logon Scripts Mitigation: Network Logon Script
Project Spawned Regsvr32,Detects the execution of regsvr32.exe as a descendent process of Project which may be a sign of attack activity.,windows,T1059,Command and Scripting Interpreter
Project Spawned Regsvr32,Detects the execution of regsvr32.exe as a descendent process of Project which may be a sign of attack activity.,windows,T1059.003,Command and Scripting Interpreter: Windows Command Shell
OneNote Spawned Process Creating EXE Files,Detects the creation of EXE files by OneNote or a descendent process which may be a sign of attack activity.,windows,T1204,User Execution
OneNote Spawned Process Creating EXE Files,Detects the creation of EXE files by OneNote or a descendent process which may be a sign of attack activity.,windows,T1204.002,User Execution Mitigation: Malicious File
Visio Spawned Connection to Port 80,Detects the connection to port 80 by a descendent process of Visio which may be a sign of attack activity.,windows,T1008,Fallback Channels
Visio Spawned Connection to Port 80,Detects the connection to port 80 by a descendent process of Visio which may be a sign of attack activity.,windows,T1204,User Execution
Visio Spawned Connection to Port 80,Detects the connection to port 80 by a descendent process of Visio which may be a sign of attack activity.,windows,T1204.002,User Execution Mitigation: Malicious File
Regasm Codebase Persistence via DLL,Detects a persistence technique using regasm to register a dll. This technique can also be used by legitimate applications.,windows,T1218,System Binary Proxy Execution
Regasm Codebase Persistence via DLL,Detects a persistence technique using regasm to register a dll. This technique can also be used by legitimate applications.,windows,T1218.009,System Binary Proxy Execution: Regsvcs/Regasm
Regasm Codebase Persistence via DLL,Detects a persistence technique using regasm to register a dll. This technique can also be used by legitimate applications.,windows,T1059,Command and Scripting Interpreter
Regasm Codebase Persistence via DLL,Detects a persistence technique using regasm to register a dll. This technique can also be used by legitimate applications.,windows,T1059.003,Command and Scripting Interpreter: Windows Command Shell
Chrome Spawned PWSH,Detects when the Chrome browser spawns a descendant pwsh.exe process. This can be a sign of an attacker injection.,windows,T1055,Process Injection
Chrome Spawned PWSH,Detects when the Chrome browser spawns a descendant pwsh.exe process. This can be a sign of an attacker injection.,windows,T1059,Command and Scripting Interpreter
Chrome Spawned PWSH,Detects when the Chrome browser spawns a descendant pwsh.exe process. This can be a sign of an attacker injection.,windows,T1059.001,Command and Scripting Interpreter: PowerShell
Persistence using Office Templates and Trusts,Detects various office template techniques used to execute a binary via persistence. These are commonly seen in association with persisting in VDI environments.,windows,T1221,Template Injection
Persistence using Office Templates and Trusts,Detects various office template techniques used to execute a binary via persistence. These are commonly seen in association with persisting in VDI environments.,windows,T1137,Office Application Startup
Persistence using Office Templates and Trusts,Detects various office template techniques used to execute a binary via persistence. These are commonly seen in association with persisting in VDI environments.,windows,T1137.001,Office Application Startup: Office Template Macros
Persistence using Office Templates and Trusts,Detects various office template techniques used to execute a binary via persistence. These are commonly seen in association with persisting in VDI environments.,windows,T1137.006,Office Application Startup: Add-ins
Persistence using Office Templates and Trusts,Detects various office template techniques used to execute a binary via persistence. These are commonly seen in association with persisting in VDI environments.,windows,T1059,Command and Scripting Interpreter
Persistence using Office Templates and Trusts,Detects various office template techniques used to execute a binary via persistence. These are commonly seen in association with persisting in VDI environments.,windows,T1059.003,Command and Scripting Interpreter: Windows Command Shell
Emond Modification,Detects Modification to file paths that are related to macOS Event Monitor Daemon (emond).  Adversaries can add rules or scripts to these locations in an attempt to gain persistence.,mac,T1546.014,Event Triggered Execution: Emond
Emond Modification,Detects Modification to file paths that are related to macOS Event Monitor Daemon (emond).  Adversaries can add rules or scripts to these locations in an attempt to gain persistence.,mac,T1546,Event Triggered Execution
Remote Proxy Execution,Detects the use of the Windows Debugging packaged tool remote.exe to spawn a child process.,windows,T1218,System Binary Proxy Execution
Remote Proxy Execution,Detects the use of the Windows Debugging packaged tool remote.exe to spawn a child process.,windows,T1059,Command and Scripting Interpreter
Remote Proxy Execution,Detects the use of the Windows Debugging packaged tool remote.exe to spawn a child process.,windows,T1059.003,Command and Scripting Interpreter: Windows Command Shell
Regasm DLL Load,Regasm can be used by attackers to load a dll while bypassing security controls on systems. calling a dll with regasm will execute the RegisterClass function. If the dll is called with the /U flag it will call the UnRegisterClass function.,windows,T1218,System Binary Proxy Execution
Regasm DLL Load,Regasm can be used by attackers to load a dll while bypassing security controls on systems. calling a dll with regasm will execute the RegisterClass function. If the dll is called with the /U flag it will call the UnRegisterClass function.,windows,T1059,Command and Scripting Interpreter
Regasm DLL Load,Regasm can be used by attackers to load a dll while bypassing security controls on systems. calling a dll with regasm will execute the RegisterClass function. If the dll is called with the /U flag it will call the UnRegisterClass function.,windows,T1059.003,Command and Scripting Interpreter: Windows Command Shell
DE_RAS_BeAnyWhere,Detects the use of the rmm tool beanywhere,windows,,
Browser Created HTA or PS1 Files,Detects the creation of HTA or powershell script files that are commonly created when visiting malicious domains.,windows,T1059,Command and Scripting Interpreter
Browser Created HTA or PS1 Files,Detects the creation of HTA or powershell script files that are commonly created when visiting malicious domains.,windows,T1059.001,Command and Scripting Interpreter: PowerShell
Browser Created HTA or PS1 Files,Detects the creation of HTA or powershell script files that are commonly created when visiting malicious domains.,windows,T1218,System Binary Proxy Execution
Browser Created HTA or PS1 Files,Detects the creation of HTA or powershell script files that are commonly created when visiting malicious domains.,windows,T1218.005,System Binary Proxy Execution: Mshta
COM Hijack sdclt,Detects changes made in the registry by sdclt at execution.,windows,T1546.015,Event Triggered Execution: Component Object Model Hijacking
COM Hijack sdclt,Detects changes made in the registry by sdclt at execution.,windows,T1546,Event Triggered Execution
COM Hijack sdclt,Detects changes made in the registry by sdclt at execution.,windows,T1548.002,Abuse Elevation Control Mechanism: Bypass User Account Control
COM Hijack sdclt,Detects changes made in the registry by sdclt at execution.,windows,T1548,Abuse Elevation Control Mechanism
Sharphound Named Pipe srvsvc Port 636,Detects when a process creates a named pipe along with corresponding network connections that are indicative of sharphound usage. Sharphound is an Active Directory reconnaissance tool used to identify potential attack paths.,windows,T1087,Account Discovery
Sharphound Named Pipe srvsvc Port 636,Detects when a process creates a named pipe along with corresponding network connections that are indicative of sharphound usage. Sharphound is an Active Directory reconnaissance tool used to identify potential attack paths.,windows,T1087.001,Account Discovery Mitigation: Local Account
Sharphound Named Pipe srvsvc Port 636,Detects when a process creates a named pipe along with corresponding network connections that are indicative of sharphound usage. Sharphound is an Active Directory reconnaissance tool used to identify potential attack paths.,windows,T1087.002,Account Discovery Mitigation: Domain Account
Sharphound Named Pipe srvsvc Port 636,Detects when a process creates a named pipe along with corresponding network connections that are indicative of sharphound usage. Sharphound is an Active Directory reconnaissance tool used to identify potential attack paths.,windows,T1482,Domain Trust Discovery
Sharphound Named Pipe srvsvc Port 636,Detects when a process creates a named pipe along with corresponding network connections that are indicative of sharphound usage. Sharphound is an Active Directory reconnaissance tool used to identify potential attack paths.,windows,T1615,Group Policy Discovery
Sharphound Named Pipe srvsvc Port 636,Detects when a process creates a named pipe along with corresponding network connections that are indicative of sharphound usage. Sharphound is an Active Directory reconnaissance tool used to identify potential attack paths.,windows,T1201,Password Policy Discovery
Sharphound Named Pipe srvsvc Port 636,Detects when a process creates a named pipe along with corresponding network connections that are indicative of sharphound usage. Sharphound is an Active Directory reconnaissance tool used to identify potential attack paths.,windows,T1069,Permission Groups Discovery
Sharphound Named Pipe srvsvc Port 636,Detects when a process creates a named pipe along with corresponding network connections that are indicative of sharphound usage. Sharphound is an Active Directory reconnaissance tool used to identify potential attack paths.,windows,T1069.001,Permission Groups Discovery Mitigation: Local Groups
Sharphound Named Pipe srvsvc Port 636,Detects when a process creates a named pipe along with corresponding network connections that are indicative of sharphound usage. Sharphound is an Active Directory reconnaissance tool used to identify potential attack paths.,windows,T1069.002,Permission Groups Discovery Mitigation: Domain Groups
Sharphound Named Pipe srvsvc Port 636,Detects when a process creates a named pipe along with corresponding network connections that are indicative of sharphound usage. Sharphound is an Active Directory reconnaissance tool used to identify potential attack paths.,windows,T1018,Remote System Discovery
Sharphound Named Pipe srvsvc Port 636,Detects when a process creates a named pipe along with corresponding network connections that are indicative of sharphound usage. Sharphound is an Active Directory reconnaissance tool used to identify potential attack paths.,windows,T1033,System Owner/User Discovery
Lsass Connection to Port 443,"Detects the connection to port 443 by a descendent process of lsass, which may be a sign of attack activity.",windows,T1008,Fallback Channels
Lsass Connection to Port 443,"Detects the connection to port 443 by a descendent process of lsass, which may be a sign of attack activity.",windows,T1071,Application Layer Protocol
Lsass Connection to Port 443,"Detects the connection to port 443 by a descendent process of lsass, which may be a sign of attack activity.",windows,T1071.001,Application Layer Protocol: Web Protocols
DE_KillerUltra Activity,"https://github.com/BinaryDefense/ARC-Labs-Hunting-Queries/blob/main/Killer%20Ultra/CrowdStrike.md

Includes suspicious executables from TEMP, Suspicious linked SHA256, the creation of scheduled tasks, and the updating  of a registry key",windows,,
Expand File Download,Detects use of the Windows native utility expand.exe to download a file. This is a known attacker living off the land technique.,windows,T1105,Ingress Tool Transfer
Expand File Download,Detects use of the Windows native utility expand.exe to download a file. This is a known attacker living off the land technique.,windows,T1059,Command and Scripting Interpreter
Expand File Download,Detects use of the Windows native utility expand.exe to download a file. This is a known attacker living off the land technique.,windows,T1059.003,Command and Scripting Interpreter: Windows Command Shell
PowerShell with Wscript Ancestry,Detects execution of the PowerShell script interpreter where an ancestral process is unusual or suspicious. This can be a sign of attacker activity but should be tuned for known scripts or internal processes.,windows,T1218,System Binary Proxy Execution
PowerShell with Wscript Ancestry,Detects execution of the PowerShell script interpreter where an ancestral process is unusual or suspicious. This can be a sign of attacker activity but should be tuned for known scripts or internal processes.,windows,T1059,Command and Scripting Interpreter
PowerShell with Wscript Ancestry,Detects execution of the PowerShell script interpreter where an ancestral process is unusual or suspicious. This can be a sign of attacker activity but should be tuned for known scripts or internal processes.,windows,T1059.001,Command and Scripting Interpreter: PowerShell
Disabling Symantec Endpoint Protection,"Detects the disablement of Symantec Endpoint Protection, which can be a sign of an attacker avoiding detection.",windows,T1562,Impair Defenses
Disabling Symantec Endpoint Protection,"Detects the disablement of Symantec Endpoint Protection, which can be a sign of an attacker avoiding detection.",windows,T1562.001,Impair Defenses: Disable or Modify Tools
Dfsvc File Download,Detects the use of rundll32.exe to potentially download a file to the system when it runs dfsvc.exe. This is a known attacker living off the land technique.,windows,T1105,Ingress Tool Transfer
Dfsvc File Download,Detects the use of rundll32.exe to potentially download a file to the system when it runs dfsvc.exe. This is a known attacker living off the land technique.,windows,T1059,Command and Scripting Interpreter
Dfsvc File Download,Detects the use of rundll32.exe to potentially download a file to the system when it runs dfsvc.exe. This is a known attacker living off the land technique.,windows,T1059.003,Command and Scripting Interpreter: Windows Command Shell
Dfsvc File Download,Detects the use of rundll32.exe to potentially download a file to the system when it runs dfsvc.exe. This is a known attacker living off the land technique.,windows,T1218,System Binary Proxy Execution
Dfsvc File Download,Detects the use of rundll32.exe to potentially download a file to the system when it runs dfsvc.exe. This is a known attacker living off the land technique.,windows,T1218.011,System Binary Proxy Execution: Rundll32
Outlook Spawned Process Creating CMD Files,Detects the creation of CMD files by Outlook or a descendent process which may be a sign of attack activity.,windows,T1059,Command and Scripting Interpreter
Outlook Spawned Process Creating CMD Files,Detects the creation of CMD files by Outlook or a descendent process which may be a sign of attack activity.,windows,T1059.003,Command and Scripting Interpreter: Windows Command Shell
Outlook Spawned Process Creating CMD Files,Detects the creation of CMD files by Outlook or a descendent process which may be a sign of attack activity.,windows,T1204,User Execution
Outlook Spawned Process Creating CMD Files,Detects the creation of CMD files by Outlook or a descendent process which may be a sign of attack activity.,windows,T1204.002,User Execution Mitigation: Malicious File
Exchange Dropped File ASP,This signal detects when an Exchange IIS worker drops a ASP file in a suspicious directory.,windows,T1059,Command and Scripting Interpreter
Exchange Dropped File ASP,This signal detects when an Exchange IIS worker drops a ASP file in a suspicious directory.,windows,T1059.003,Command and Scripting Interpreter: Windows Command Shell
Netsh Network Traffic Capture,Enables netsh to be used to capture a network trace on a host. This can be used by attackers to monitor for passwords or other data of interest being transmitted over the wire.,windows,T1040,Network Sniffing
Group Policy Script Creation vbs,Detects the creation of a group policy script which can be used for persistence by an attacker.,windows,T1037,Boot or Logon Initialization Scripts
Group Policy Script Creation vbs,Detects the creation of a group policy script which can be used for persistence by an attacker.,windows,T1037.003,Logon Scripts Mitigation: Network Logon Script
MMC Spawned PowerShell,This signal detects when a powershell.exe process is spawned as a descendant of the MMC.exe process. This can be a sign of injection into MMC since it will not normally spawn powershell.,windows,T1055,Process Injection
MMC Spawned PowerShell,This signal detects when a powershell.exe process is spawned as a descendant of the MMC.exe process. This can be a sign of injection into MMC since it will not normally spawn powershell.,windows,T1059,Command and Scripting Interpreter
MMC Spawned PowerShell,This signal detects when a powershell.exe process is spawned as a descendant of the MMC.exe process. This can be a sign of injection into MMC since it will not normally spawn powershell.,windows,T1059.001,Command and Scripting Interpreter: PowerShell
Group Policy Script Creation hta,Detects the creation of a group policy script which can be used for persistence by an attacker.,windows,T1037,Boot or Logon Initialization Scripts
Group Policy Script Creation hta,Detects the creation of a group policy script which can be used for persistence by an attacker.,windows,T1037.003,Logon Scripts Mitigation: Network Logon Script
Masquerading as Tanium Detect Engine (Linux and MacOS),This signal detects when a process is running that is named TaniumDetectEngine and is not executing out of the expected Tanium Client directory. Note: If you install the Tanium client in a non-standard directory this signal may need to be edited.,"linux,mac",T1036,Masquerading
Masquerading as Tanium Detect Engine (Linux and MacOS),This signal detects when a process is running that is named TaniumDetectEngine and is not executing out of the expected Tanium Client directory. Note: If you install the Tanium client in a non-standard directory this signal may need to be edited.,"linux,mac",T1036.005,Masquerading Mitigation: Match Legitimate Resource Name or Location
Uncommon RegSvcs & RegAsm Script Execution,"Detects the uncommon use of RegSvcs & RegAsm script execution, which can be used to bypass AppLocker.",windows,T1218,System Binary Proxy Execution
Uncommon RegSvcs & RegAsm Script Execution,"Detects the uncommon use of RegSvcs & RegAsm script execution, which can be used to bypass AppLocker.",windows,T1218.009,System Binary Proxy Execution: Regsvcs/Regasm
Uncommon RegSvcs & RegAsm Script Execution,"Detects the uncommon use of RegSvcs & RegAsm script execution, which can be used to bypass AppLocker.",windows,T1059,Command and Scripting Interpreter
Uncommon RegSvcs & RegAsm Script Execution,"Detects the uncommon use of RegSvcs & RegAsm script execution, which can be used to bypass AppLocker.",windows,T1059.003,Command and Scripting Interpreter: Windows Command Shell
PowerShell Command Line WebClient,Detects execution of the PowerShell script interpreter with the WebClient PowerShell argument that can be used to retrieve remote malicious code.,windows,T1059,Command and Scripting Interpreter
PowerShell Command Line WebClient,Detects execution of the PowerShell script interpreter with the WebClient PowerShell argument that can be used to retrieve remote malicious code.,windows,T1059.001,Command and Scripting Interpreter: PowerShell
PowerShell Command Line WebClient,Detects execution of the PowerShell script interpreter with the WebClient PowerShell argument that can be used to retrieve remote malicious code.,windows,T1105,Ingress Tool Transfer
DA_DLL or EXE added to GPO folder,,windows,,
Privilege Escalation with WinHvPlatform,Detects a process that loads the WinHvPlatform.dll library that has known vulnerable versions that can be used for privilege escalation. Further investigation may be required to determine if a detected program is legitimate and using the windows hypervisor platform.,windows,T1068,Exploitation for Privilege Escalation
PWSH Exclusion Added to Defender,Detects the use of PowerShell to add a Microsoft Defender exclusion that attackers can use to avoid detections of malicious activity.,windows,T1562,Impair Defenses
PWSH Exclusion Added to Defender,Detects the use of PowerShell to add a Microsoft Defender exclusion that attackers can use to avoid detections of malicious activity.,windows,T1562.001,Impair Defenses: Disable or Modify Tools
PWSH Exclusion Added to Defender,Detects the use of PowerShell to add a Microsoft Defender exclusion that attackers can use to avoid detections of malicious activity.,windows,T1059,Command and Scripting Interpreter
PWSH Exclusion Added to Defender,Detects the use of PowerShell to add a Microsoft Defender exclusion that attackers can use to avoid detections of malicious activity.,windows,T1059.001,Command and Scripting Interpreter: PowerShell
PWSH Exclusion Added to Defender,Detects the use of PowerShell to add a Microsoft Defender exclusion that attackers can use to avoid detections of malicious activity.,windows,T1553,Subvert Trust Controls
DE_ProxyExec_LSASS,Detection of the proxy execution of rundll32.exe via compsec (comsvcs.dll) for executing DLL files.,windows,T1218,System Binary Proxy Execution
Image File Debugger Tampering DisplaySwitch,Detects changes to the debugger configuration settings for displatswitch.exe which can be used for persistent execution of the configured debugger.,windows,T1546,Event Triggered Execution
Image File Debugger Tampering DisplaySwitch,Detects changes to the debugger configuration settings for displatswitch.exe which can be used for persistent execution of the configured debugger.,windows,T1546.008,Event Triggered Execution: Accessibility Features
Image File Debugger Tampering DisplaySwitch,Detects changes to the debugger configuration settings for displatswitch.exe which can be used for persistent execution of the configured debugger.,windows,T1112,Modify Registry
Windows Session Enumeration pipesvcctl,Detects artifacts related to windows session enumeration used by tools such as Bloodhound to collect information on user sessions.,windows,T1033,System Owner/User Discovery
Windows Session Enumeration pipesvcctl,Detects artifacts related to windows session enumeration used by tools such as Bloodhound to collect information on user sessions.,windows,T1087,Account Discovery
Windows Session Enumeration pipesvcctl,Detects artifacts related to windows session enumeration used by tools such as Bloodhound to collect information on user sessions.,windows,T1087.001,Account Discovery Mitigation: Local Account
Windows Session Enumeration pipesvcctl,Detects artifacts related to windows session enumeration used by tools such as Bloodhound to collect information on user sessions.,windows,T1087.002,Account Discovery Mitigation: Domain Account
Windows Session Enumeration pipesvcctl,Detects artifacts related to windows session enumeration used by tools such as Bloodhound to collect information on user sessions.,windows,T1087.003,Account Discovery Mitigation: Email Account
Windows Session Enumeration pipesvcctl,Detects artifacts related to windows session enumeration used by tools such as Bloodhound to collect information on user sessions.,windows,T1069.001,Permission Groups Discovery Mitigation: Local Groups
Windows Session Enumeration pipesvcctl,Detects artifacts related to windows session enumeration used by tools such as Bloodhound to collect information on user sessions.,windows,T1069.002,Permission Groups Discovery Mitigation: Domain Groups
Windows Session Enumeration pipesvcctl,Detects artifacts related to windows session enumeration used by tools such as Bloodhound to collect information on user sessions.,windows,T1069,Permission Groups Discovery
Windows Session Enumeration pipesvcctl,Detects artifacts related to windows session enumeration used by tools such as Bloodhound to collect information on user sessions.,windows,T1059,Command and Scripting Interpreter
Windows Session Enumeration pipesvcctl,Detects artifacts related to windows session enumeration used by tools such as Bloodhound to collect information on user sessions.,windows,T1059.003,Command and Scripting Interpreter: Windows Command Shell
CimProvider DLL Injection,Running CimProvider can be used by attackers to execute malicious code while bypassing security controls on systems.,windows,T1218,System Binary Proxy Execution
CimProvider DLL Injection,Running CimProvider can be used by attackers to execute malicious code while bypassing security controls on systems.,windows,T1059,Command and Scripting Interpreter
CimProvider DLL Injection,Running CimProvider can be used by attackers to execute malicious code while bypassing security controls on systems.,windows,T1059.003,Command and Scripting Interpreter: Windows Command Shell
Volume Shadow Copy Creation,Detects usage of WMIC.EXE to create a Volume Shadow Copy. This technique can be used by attackers to access locked sensitive files.,windows,T1003,OS Credential Dumping
Volume Shadow Copy Creation,Detects usage of WMIC.EXE to create a Volume Shadow Copy. This technique can be used by attackers to access locked sensitive files.,windows,T1047,Windows Management Instrumentation
Volume Shadow Copy Creation,Detects usage of WMIC.EXE to create a Volume Shadow Copy. This technique can be used by attackers to access locked sensitive files.,windows,T1059,Command and Scripting Interpreter
Volume Shadow Copy Creation,Detects usage of WMIC.EXE to create a Volume Shadow Copy. This technique can be used by attackers to access locked sensitive files.,windows,T1059.003,Command and Scripting Interpreter: Windows Command Shell
OneNote Spawned Regsvr32,Detects the execution of regsvr32.exe as a descendent process of OneNote which may be a sign of attack activity.,windows,T1059,Command and Scripting Interpreter
OneNote Spawned Regsvr32,Detects the execution of regsvr32.exe as a descendent process of OneNote which may be a sign of attack activity.,windows,T1059.003,Command and Scripting Interpreter: Windows Command Shell
PowerShell ISE Command Line WebRequest,Detects execution of the PowerShell ISE script interpreter with the WebRequest PowerShell argument that can be used to retrieve remote malicious code.,windows,T1059,Command and Scripting Interpreter
PowerShell ISE Command Line WebRequest,Detects execution of the PowerShell ISE script interpreter with the WebRequest PowerShell argument that can be used to retrieve remote malicious code.,windows,T1059.001,Command and Scripting Interpreter: PowerShell
PowerShell ISE Command Line WebRequest,Detects execution of the PowerShell ISE script interpreter with the WebRequest PowerShell argument that can be used to retrieve remote malicious code.,windows,T1105,Ingress Tool Transfer
Disable Defender Real Time Protection,Detects the modification of the Windows Defender Real Time setting in the registry. This can indicate Defender real-time protection being disabled.,windows,T1562,Impair Defenses
Disable Defender Real Time Protection,Detects the modification of the Windows Defender Real Time setting in the registry. This can indicate Defender real-time protection being disabled.,windows,T1562.001,Impair Defenses: Disable or Modify Tools
Disable Defender Real Time Protection,Detects the modification of the Windows Defender Real Time setting in the registry. This can indicate Defender real-time protection being disabled.,windows,T1112,Modify Registry
Office Applications Executing AppData Binaries,Detects the execution of binaries by office applications in a users AppData directory which is a common staging directory.,windows,T1137,Office Application Startup
Office Applications Executing AppData Binaries,Detects the execution of binaries by office applications in a users AppData directory which is a common staging directory.,windows,T1559,Inter-Process Communication
Office Applications Executing AppData Binaries,Detects the execution of binaries by office applications in a users AppData directory which is a common staging directory.,windows,T1559.002,Inter-Process Communication: Dynamic Data Exchange
Office Applications Executing AppData Binaries,Detects the execution of binaries by office applications in a users AppData directory which is a common staging directory.,windows,T1566,Phishing
Office Applications Executing AppData Binaries,Detects the execution of binaries by office applications in a users AppData directory which is a common staging directory.,windows,T1566.001,Phishing: Spearphishing Attachment
DE_WebBrowserExtension,"During execution, SmashJacker forced Google Chrome or Microsoft Edge to open with the command line argument --load-extension so a browser extension can install without user interaction. This analytic will likely uncover additional adware in an environment and may need tuning to take account for acceptable software installation.

Source Red Canary ",windows,T1176,Browser Extensions
PowerShell Prompted For User Credentials,Detects the DLL loaded by a process when PowerShell is used to prompt the user for their credentials. Malware can use this technique to capture user credentials.,windows,T1056,Input Capture
PowerShell Prompted For User Credentials,Detects the DLL loaded by a process when PowerShell is used to prompt the user for their credentials. Malware can use this technique to capture user credentials.,windows,T1059,Command and Scripting Interpreter
PowerShell Prompted For User Credentials,Detects the DLL loaded by a process when PowerShell is used to prompt the user for their credentials. Malware can use this technique to capture user credentials.,windows,T1059.001,Command and Scripting Interpreter: PowerShell
Outlook Spawned Process Creating DLL Files,Detects the creation of DLL files by Outlook or a descendent process which may be a sign of attack activity.,windows,T1204,User Execution
Outlook Spawned Process Creating DLL Files,Detects the creation of DLL files by Outlook or a descendent process which may be a sign of attack activity.,windows,T1204.002,User Execution Mitigation: Malicious File
Exchange Dropped File ASPX,This signal detects when an Exchange IIS worker drops a ASPX file in a suspicious directory.,windows,T1059,Command and Scripting Interpreter
Exchange Dropped File ASPX,This signal detects when an Exchange IIS worker drops a ASPX file in a suspicious directory.,windows,T1059.003,Command and Scripting Interpreter: Windows Command Shell
Graph Spawned Process Creating EXE Files,Detects the creation of EXE files by Graph or a descendent process which may be a sign of attack activity.,windows,T1204,User Execution
Graph Spawned Process Creating EXE Files,Detects the creation of EXE files by Graph or a descendent process which may be a sign of attack activity.,windows,T1204.002,User Execution Mitigation: Malicious File
DA_Windows Firewall Modification,,windows,T1562.004,Impair Defenses: Disable or Modify System Firewall
System.Management.Automation with Mshta Ancestry,Detects when an unusual or suspicious ancestral process loads the System.Management.Automation dll which contains the PowerShell class. This can be a sign of attacker activity but should be tuned for known scripts or internal processes.,windows,T1218,System Binary Proxy Execution
System.Management.Automation with Mshta Ancestry,Detects when an unusual or suspicious ancestral process loads the System.Management.Automation dll which contains the PowerShell class. This can be a sign of attacker activity but should be tuned for known scripts or internal processes.,windows,T1218.005,System Binary Proxy Execution: Mshta
System.Management.Automation with Mshta Ancestry,Detects when an unusual or suspicious ancestral process loads the System.Management.Automation dll which contains the PowerShell class. This can be a sign of attacker activity but should be tuned for known scripts or internal processes.,windows,T1059,Command and Scripting Interpreter
System.Management.Automation with Mshta Ancestry,Detects when an unusual or suspicious ancestral process loads the System.Management.Automation dll which contains the PowerShell class. This can be a sign of attacker activity but should be tuned for known scripts or internal processes.,windows,T1059.001,Command and Scripting Interpreter: PowerShell
Service Linux Firewall Stop,Detects use of the Linux service to stop the systems firewall.,linux,T1562,Impair Defenses
Service Linux Firewall Stop,Detects use of the Linux service to stop the systems firewall.,linux,T1562.004,Impair Defenses: Disable or Modify System Firewall
Service Linux Firewall Stop,Detects use of the Linux service to stop the systems firewall.,linux,T1059,Command and Scripting Interpreter
Service Linux Firewall Stop,Detects use of the Linux service to stop the systems firewall.,linux,T1059.004,Command and Scripting Interpreter: Unix Shell
Curl.exe Commands Exfil Port 80,Detects common commands that are used to exfiltrate data with the curl.exe binary.,windows,T1041,Exfiltration Over C2 Channel
Curl.exe Commands Exfil Port 80,Detects common commands that are used to exfiltrate data with the curl.exe binary.,windows,T1059,Command and Scripting Interpreter
Curl.exe Commands Exfil Port 80,Detects common commands that are used to exfiltrate data with the curl.exe binary.,windows,T1059.003,Command and Scripting Interpreter: Windows Command Shell
Word Spawned Process Creating SYS Files,Detects the creation of SYS files by Word or a descendent process which may be a sign of attack activity.,windows,T1204,User Execution
Word Spawned Process Creating SYS Files,Detects the creation of SYS files by Word or a descendent process which may be a sign of attack activity.,windows,T1204.002,User Execution Mitigation: Malicious File
